X	Y	Z
7.04799986	-1.38800001	2.9454999
7.08599997	-1.35000002	2.93224978
7.12825012	-1.41700006	2.84549999
7.16400003	-1.4605	2.85874987
7.19075012	-1.40824997	2.83949995
7.20900011	-1.43149996	2.88224983
7.13850021	-1.36424994	2.84174991
7.14624977	-1.44850004	2.91649985
7.19199991	-1.40100002	2.93674994
6.98950005	-1.40900004	2.99000001
7.03849983	-1.41900003	3.00574994
7.10375023	-1.39125001	2.96674991
7.04750013	-1.34749997	3.01199985
7.0857501	-1.44949996	3.02474999
7.06024981	-1.41775	3.06274986
7.01475	-1.38625002	3.03600001
7.09700012	-1.37349999	3.03199983
7.15775013	-1.41250002	2.98199987
7.19950008	-1.37724996	2.99175
7.14300013	-1.44375002	3.02324986
7.15299988	-1.44675004	3.07800007
7.22049999	-1.46249998	3.03775001
7.17175007	-1.41024995	3.04699993
7.15124989	-1.36150002	3.04250002
7.01100016	-1.28725004	3.01475
7.09399986	-1.32124996	2.98824978
7.03000021	-1.33325005	3.05874991
7.08424997	-1.33025002	3.05874991
7.03649998	-1.26549995	3.05324984
7.21950006	-1.25650001	3.0062499
7.16550016	-1.30375004	3.04425001
7.13149977	-1.32725	3.07800007
7.10400009	-1.28225005	3.07824993
7.20225	-1.33949995	3.02749991
7.13199997	-1.24849999	3.05274987
7.17724991	-1.26024997	3.0769999
6.94999981	-1.54624999	3.09850001
6.92999983	-1.49775004	3.08924985
7.0085001	-1.63750005	3.09074998
7.00699997	-1.60574996	3.13449979
7.12575006	-1.63300002	3.11999989
7.19449997	-1.62874997	3.09149981
6.9937501	-1.57175004	3.0932498
7.04425001	-1.56824994	3.11399984
7.10349989	-1.57774997	3.12625003
7.00174999	-1.51925004	3.09399986
7.10125017	-1.51625001	3.1085
7.08274984	-1.47574997	3.13874984
7.19750023	-1.57325006	3.11500001
7.15950012	-1.495	3.08974981
7.19325018	-1.47599995	3.1335001
7.2249999	-1.59850001	3.16699982
7.1875	-1.55324996	3.1707499
7.23024988	-1.54674995	3.20149994
7.11324978	-1.50825	3.16549993
7.15250015	-1.48424995	3.18924999
7.22049999	-1.51874995	3.15299988
7.22300005	-1.51575005	3.29425001
7.17525005	-1.49775004	3.32075
7.23075008	-1.48525	3.33424997
6.8375001	-1.38975	3.09874988
6.89424992	-1.4095	3.102
6.94124985	-1.44700003	3.10299993
6.97399998	-1.40824997	3.13749981
6.93424988	-1.37125003	3.12574983
7.0005002	-1.45025003	3.09474993
7.0392499	-1.4145	3.11899996
7.02225018	-1.37325001	3.14274979
7.0942502	-1.39625001	3.10049987
7.09649992	-1.42725003	3.16524982
7.13425016	-1.44799995	3.12649989
7.20949984	-1.42824996	3.13199997
7.15749979	-1.38999999	3.10574985
7.16324997	-1.43149996	3.17399979
7.08850002	-1.3355	3.10874987
7.18900013	-1.30499995	3.09674978
7.23124981	-1.42974997	3.2184999
7.1647501	-1.45700002	3.28699994
7.20949984	-1.42124999	3.29624987
7.22349977	-1.03174996	3.20599985
7.22700024	-0.97624999	3.20899987
7.17275	-1.00674999	3.25125003
7.22800016	-1.0115	3.26599979
7.17474985	-0.96499997	3.2974999
7.15500021	-0.96200001	3.37849998
7.19474983	-1.05075002	3.43824983
7.1557498	-0.99949998	3.4224999
7.22849989	-1.005	3.40799999
7.20225	-0.96074998	3.40524983
7.23175001	-0.99024999	3.47299981
9.31274986	-3.08074999	2.55999994
9.38049984	-3.05550003	2.56299996
9.9517498	-3.12875009	2.53324986
9.97124958	-3.079	2.54849982
10.00800037	-3.11474991	2.51849985
10.01949978	-3.07025003	2.56424999
9.14925003	-1.09825003	0.53499997
9.13175011	-1.09574997	0.58774996
9.15100002	-1.09525001	0.63824993
9.1817503	-1.12524998	0.57574993
9.24750042	-1.12249994	0.52299994
9.23950005	-1.12125003	0.57399994
9.19449997	-1.12750006	0.62874997
9.27974987	-1.10300004	0.60849994
9.24600029	-1.11849999	0.64349997
9.08699989	-1.03625	0.53024995
9.09599972	-1.04700005	0.57924998
9.11275005	-0.99250001	0.53624994
9.12549973	-0.96450001	0.57849997
9.11225033	-1.04149997	0.63024998
9.11100006	-0.98624998	0.62474996
9.14925003	-1.09224999	0.69724995
9.14900017	-1.08875	0.75449997
9.19449997	-1.12874997	0.67874998
9.24100018	-1.12024999	0.69799995
9.19950008	-1.12074995	0.72849995
9.27900028	-1.11249995	0.73424995
9.24199963	-1.13975	0.77424997
9.11050034	-1.02699995	0.67824996
9.11349964	-0.96625	0.67524993
9.11200047	-1.05575001	0.73374993
9.11674976	-0.99725002	0.72849995
9.13449955	-0.96974999	0.76899993
9.15174961	-1.08899999	0.81174994
9.18599987	-1.12874997	0.78849995
9.21350002	-1.12600005	0.83224994
9.27974987	-1.11475003	0.80149996
9.16275024	-1.10424995	0.85949993
9.20724964	-1.13174999	0.89449996
9.26074982	-1.12224996	0.85399997
9.27974987	-1.1135	0.90124995
9.11550045	-1.02750003	0.78299993
9.12075043	-1.05324996	0.83624995
9.13500023	-0.99274999	0.82874995
9.13799953	-1.06149995	0.88699996
9.13325024	-1.00849998	0.88174993
9.15974998	-0.963	0.86199993
9.14599991	-1.12524998	1.02524996
9.1704998	-1.10125005	0.91799998
9.20349979	-1.12925005	0.94874996
9.2585001	-1.13199997	0.96699995
9.16600037	-1.10000002	0.98174995
9.21399975	-1.12275004	1.00374997
9.26599979	-1.12199998	1.0194999
9.13899994	-1.02674997	0.93424994
9.15174961	-0.9745	0.92224997
9.13325024	-1.05725002	0.98949993
9.1477499	-0.99425	0.97474998
9.13325024	-1.01575005	1.02999997
9.15575027	-1.07624996	1.03049994
9.16600037	-0.96249998	1.01749992
9.2130003	-1.12275004	1.06174994
9.17599964	-1.08850002	1.08699989
9.26924992	-1.11150002	1.06849992
9.21100044	-1.11000001	1.11949992
9.15674973	-1.11849999	1.12824988
9.26550007	-1.12450004	1.12324989
9.14900017	-1.046	1.07075
9.14649963	-0.99599999	1.08399999
9.13774967	-1.03649998	1.12074995
9.15149975	-1.07000005	1.15574992
9.1505003	-0.99349999	1.14849997
9.19375038	-1.11749995	1.17299998
9.18299961	-1.08949995	1.21449995
9.24549961	-1.12024999	1.16924989
9.23700047	-1.11749995	1.22049999
9.17875004	-1.08825004	1.26499999
9.23974991	-1.12175	1.27024996
9.14624977	-1.03024995	1.19774997
9.14449978	-1.03799999	1.26074994
9.15174961	-0.99225003	1.2382499
9.17275047	-0.96525002	1.19024992
9.16450024	-0.98150003	1.28649998
9.15174961	-1.10549998	1.34924996
9.2130003	-1.10625005	1.31324995
9.27974987	-1.10350001	1.30224991
9.25349998	-1.11074996	1.34974992
9.19674969	-1.09099996	1.36749995
9.25224972	-1.13224995	1.41049993
9.15149975	-1.04024994	1.32124996
9.14025021	-1.03625	1.37774992
9.15750027	-0.99349999	1.33899999
9.17350006	-1.06575	1.41149998
9.17800045	-0.96275002	1.37449992
9.16549969	-1.00600004	1.41074991
9.21275043	-1.10000002	1.43024993
9.23925018	-1.11549997	1.47049999
9.18875027	-1.08924997	1.49224997
9.26599979	-1.12300003	1.528
9.21675014	-1.10049999	1.53625
9.17175007	-1.04875004	1.46174991
9.17949963	-0.96525002	1.43849993
9.15775013	-1.03750002	1.50924993
9.17424965	-0.99349999	1.48149991
9.1647501	-0.99774998	1.54149997
9.1932497	-0.96025002	1.52424991
8.21275043	-2.65374994	2.56524992
8.22025013	-2.57949996	2.55849981
8.74950027	-2.62800002	2.03524995
8.96850014	-2.53349996	1.92374992
8.81799984	-2.6312499	2.05024981
8.95499992	-2.62849998	1.96124995
9.0227499	-2.64074993	1.98799992
8.94099998	-2.64674997	2.00650001
9.00774956	-2.65974998	2.03574991
8.88175011	-2.55224991	1.97024989
8.81774998	-2.59675002	2.00950003
8.80550003	-2.5704999	2.0539999
8.85200024	-2.56325006	2.03649998
8.9385004	-2.56675005	1.96699989
9.0142498	-2.61325002	1.94674993
8.98775005	-2.59450006	1.98674989
8.91775036	-2.51749992	1.95424998
9.01074982	-2.53850007	1.95799994
8.92599964	-2.58249998	2.02099991
9.01525021	-2.56150007	2.01999998
8.9697504	-2.56925011	2.04824996
8.95149994	-2.52524996	1.99549997
8.93949986	-2.50725007	2.0539999
8.98600006	-2.52049994	2.04099989
9.06299973	-2.5940001	1.94924998
9.04800034	-2.60124993	2.00674987
9.08425045	-2.56299996	2.02624989
9.04074955	-2.51699996	1.99674988
9.04699993	-2.53725004	2.05375004
9.13300037	-2.5474999	1.99849999
8.92300034	-2.44225001	2.04474998
9.01525021	-2.45825005	2.02199984
8.93949986	-2.37599993	2.01950002
9.00300026	-2.40424991	2.023
8.95849991	-2.329	2.00699997
9.0227499	-2.34500003	2.00300002
9.00424957	-2.28474998	2.02224994
9.04574966	-2.37849998	2.03849983
9.27700043	-2.48825002	1.94199991
9.27124977	-2.43525004	1.94799995
9.15375042	-2.35325003	2.03674984
8.76525021	-2.65424991	2.12274981
8.74549961	-2.60349989	2.10874987
8.75825024	-2.55800009	2.07174993
8.69524956	-2.49650002	2.14899993
8.74400043	-2.54150009	2.14750004
8.73849964	-2.49650002	2.18099999
8.76749992	-2.60050011	2.19575
8.73950005	-2.546	2.21099997
8.76175022	-2.50125003	2.22774982
8.96399975	-2.76224995	2.17324996
9.00699997	-2.76524997	2.20474982
9.08749962	-2.86374998	2.1335001
9.08374977	-2.81850004	2.17449999
9.13974953	-2.78125	2.16824985
9.20049953	-2.81725001	2.13925004
9.2472496	-2.83699989	2.13824987
9.21150017	-2.75749993	2.14750004
9.25949955	-2.77950001	2.13399982
9.27025032	-2.81025004	2.17499995
9.10274982	-2.76399994	2.23525
9.10149956	-2.82150006	2.24799991
9.14449978	-2.82424998	2.2974999
9.07149982	-2.81075001	2.28849983
9.05200005	-2.7562499	2.27999997
9.11824989	-2.78125	2.29399991
9.18924999	-2.75650001	2.21724987
9.21700001	-2.81599998	2.19949985
9.24374962	-2.76824999	2.19099998
9.17650032	-2.76725006	2.30699992
9.23824978	-2.81299996	2.2665
9.2329998	-2.76174998	2.27899981
8.83325005	-2.67674994	2.07649994
8.8835001	-2.66950011	2.06999993
8.85449982	-2.63474989	2.09375
8.89050007	-2.73974991	2.1645
8.81725025	-2.65774989	2.12549996
8.82849979	-2.64225006	2.17624998
8.87975025	-2.6565001	2.17949986
8.95149994	-2.65625	2.09149981
8.90824986	-2.62975001	2.09874988
8.79675007	-2.59325004	2.10274982
8.87450027	-2.59500003	2.06974983
8.83450031	-2.56100011	2.09599996
8.87674999	-2.58599997	2.11899996
8.79450035	-2.5085001	2.05550003
8.78925037	-2.53999996	2.11399984
8.88774967	-2.54025006	2.07299995
8.85424995	-2.50075006	2.06624985
8.8295002	-2.57824993	2.14275002
8.86600018	-2.59575009	2.17649984
8.79100037	-2.52999997	2.16999984
8.83100033	-2.50125003	2.15674996
8.89474964	-2.54550004	2.14249992
8.86824989	-2.52474999	2.18099999
8.93875027	-2.5775001	2.11399984
9.02099991	-2.57450008	2.07599998
8.95950031	-2.51250005	2.11049986
9.01025009	-2.51174998	2.08649993
8.91625023	-2.60500002	2.17199993
8.94824982	-2.56399989	2.16949987
9.02299976	-2.56675005	2.13674998
8.91724968	-2.49924994	2.14374995
9.00599957	-2.51550007	2.13749981
8.83075047	-2.72449994	2.19124985
8.87749958	-2.69775009	2.21399999
8.92774963	-2.72924995	2.20499992
8.95975018	-2.69825006	2.22849989
8.9375	-2.64299989	2.20700002
9.01299953	-2.6875	2.227
8.98474979	-2.63875008	2.22549987
8.80875015	-2.56649995	2.20124984
8.89025021	-2.6170001	2.21499991
8.89500046	-2.56075001	2.22124982
8.81575012	-2.51300001	2.22149992
8.86250019	-2.51874995	2.24175
8.87874985	-2.58275008	2.26950002
8.84399986	-2.51950002	2.28999996
8.94349957	-2.59549999	2.23000002
8.99225044	-2.58100009	2.20474982
8.90925026	-2.50099993	2.19774985
8.95750046	-2.51425004	2.18899989
8.94250011	-2.5462501	2.23899984
9.01799965	-2.50749993	2.20724988
8.99950027	-2.54325008	2.24449992
8.95775032	-2.56325006	2.30174994
9.00549984	-2.59724998	2.29699993
8.90499973	-2.53375006	2.27899981
8.94124985	-2.50174999	2.26249981
9.01825047	-2.53125	2.29449987
9.10350037	-2.6247499	2.11874986
9.08399963	-2.69974995	2.14874983
9.15775013	-2.73075008	2.15949988
9.20874977	-2.69050002	2.17750001
9.24925041	-2.71974993	2.16074991
9.08049965	-2.60249996	2.07624984
9.06375027	-2.56075001	2.10774994
9.05700016	-2.49650002	2.1082499
9.13374996	-2.53299999	2.11800003
9.06474972	-2.74725008	2.18949986
9.06375027	-2.69724989	2.204
9.04325008	-2.73024988	2.23549986
9.11050034	-2.72199988	2.18924999
9.14325047	-2.72950006	2.23049998
9.10624981	-2.65450001	2.21374989
9.15149975	-2.67600012	2.23674989
9.08275032	-2.70650005	2.27674985
9.14675045	-2.72425008	2.28624988
9.11775017	-2.62774992	2.25775003
9.12849998	-2.65949988	2.30974984
9.19299984	-2.71224999	2.24549985
9.23799992	-2.71300006	2.21424985
9.27499962	-2.73024988	2.24349999
9.16775036	-2.64599991	2.18349981
9.21574974	-2.63700008	2.24524999
